                 z      fgas    fgas.err  M2500   M2500.err  Mgas   Mgas.err  Mtot   Mtot.err
3c186            1.063  0.1021  0.0179    1.905   0.305      0.992  0.067     0.971  0.217
3c295            0.460  0.1120  0.0208    2.116   0.309      1.024  0.063     0.914  0.208
a1835            0.252  0.1298  0.0057    4.994   0.148      3.088  0.040     2.380  0.126
a2029            0.078  0.1338  0.0035    4.064   0.085      2.243  0.021     1.688  0.056
a2204            0.152  0.1394  0.0082    5.090   0.244      2.719  0.055     1.950  0.148
a3444            0.253  0.1411  0.0121    3.108   0.204      2.165  0.071     1.534  0.171
a478             0.088  0.1172  0.0091    4.195   0.244      2.273  0.043     1.939  0.174
cl1415+3612      1.028  0.0868  0.0149    1.919   0.259      0.846  0.024     0.975  0.179
i09104           0.442  0.1068  0.0149    2.815   0.330      1.243  0.066     1.164  0.212
macs0011.7-1523  0.378  0.1348  0.0206    3.023   0.301      1.617  0.070     1.199  0.212
macs0150.3-1005  0.363  0.1590  0.0214    1.511   0.167      0.921  0.039     0.579  0.092
macs0159.8-0849  0.404  0.1228  0.0170    4.906   0.465      2.584  0.107     2.105  0.337
macs0242.5-2132  0.314  0.1298  0.0286    2.903   0.532      1.421  0.123     1.095  0.297
macs0429.6-0253  0.399  0.1042  0.0229    3.214   0.607      1.579  0.126     1.516  0.431
macs0947.2+7623  0.345  0.1074  0.0102    4.431   0.370      2.042  0.075     1.902  0.235
macs1115.8+0129  0.355  0.1563  0.0143    3.378   0.242      2.170  0.055     1.389  0.151
macs1359.1-1929  0.447  0.0959  0.0189    2.222   0.357      0.925  0.066     0.964  0.235
macs1423.8+2404  0.539  0.1381  0.0121    2.833   0.207      1.552  0.054     1.124  0.128
macs1427.2+4407  0.487  0.1593  0.0217    2.401   0.304      1.546  0.089     0.971  0.168
macs1427.6-2521  0.318  0.1255  0.0218    1.803   0.228      0.814  0.047     0.649  0.134
macs1532.8+3021  0.363  0.1133  0.0071    3.618   0.224      1.912  0.053     1.687  0.147
macs1621.3+3810  0.461  0.1261  0.0158    2.759   0.228      1.390  0.048     1.102  0.160
macs1720.2+3536  0.391  0.1355  0.0164    3.086   0.337      1.681  0.053     1.241  0.177
macs1931.8-2634  0.352  0.1313  0.0095    3.447   0.180      1.943  0.043     1.479  0.128
macs2046.0-3430  0.423  0.1565  0.0262    1.705   0.197      1.046  0.052     0.668  0.130
macs2229.7-2755  0.324  0.1438  0.0209    1.979   0.199      1.170  0.050     0.814  0.134
ms2137.3-2353    0.313  0.1381  0.0107    2.092   0.125      1.093  0.031     0.792  0.075
perseus          0.018  0.1288  0.0040    2.661   0.040      1.638  0.014     1.304  0.044
pks0745          0.103  0.1325  0.0043    4.577   0.130      2.740  0.030     2.069  0.084
rcs1447+0828     0.376  0.1314  0.0081    3.986   0.276      2.401  0.070     1.827  0.162
rxj0439.0+0520   0.208  0.1153  0.0168    1.980   0.194      0.853  0.037     0.740  0.127
rxj1347.5-1145   0.451  0.1155  0.0079    10.930  0.675      4.883  0.106     4.229  0.366
rxj1459.4-1811   0.236  0.1510  0.0138    2.731   0.227      1.833  0.076     1.214  0.131
rxj1504.1-0248   0.215  0.1333  0.0051    4.921   0.160      2.571  0.027     1.928  0.085
rxj1524.2-3154   0.103  0.1233  0.0087    1.763   0.092      0.827  0.022     0.671  0.059
rxj2129.6+0005   0.235  0.1541  0.0186    2.845   0.195      1.815  0.060     1.177  0.159
spt0000-5748     0.702  0.1019  0.0122    2.049   0.230      0.944  0.036     0.927  0.141
spt0615-5746     0.972  0.1169  0.0074    4.701   0.362      2.969  0.075     2.540  0.217
spt2043-5035     0.723  0.1093  0.0080    2.190   0.182      1.210  0.037     1.107  0.109
spt2215-3537     1.160  0.1472  0.0207    2.400   0.347      1.569  0.085     1.066  0.196
spt2331-5051     0.576  0.1212  0.0060    2.072   0.166      1.120  0.039     0.924  0.075
spt2344-4242     0.596  0.1225  0.0045    6.070   0.326      3.044  0.076     2.485  0.146
z2089            0.235  0.1152  0.0114    1.642   0.120      0.829  0.026     0.719  0.083
z2701            0.214  0.1120  0.0056    1.880   0.077      0.934  0.019     0.834  0.055
